area,gender,age,State,Area (sq km),Eligible participants,Participation rate (%),Total participants,Total Paticipants
Adelaide,Female,18-19 years,SA,76,1341,83.5,1120,1120
Adelaide,Female,20-24 years,SA,76,4620,81.2,3750,3750
Adelaide,Female,25-29 years,SA,76,4897,81.8,4004,4004
Adelaide,Female,30-34 years,SA,76,4784,79.8,3820,3820
Adelaide,Female,35-39 years,SA,76,4319,79,3411,3411
Adelaide,Female,40-44 years,SA,76,4310,80.6,3472,3472
Adelaide,Female,45-49 years,SA,76,4579,81.4,3728,3728
Adelaide,Female,50-54 years,SA,76,4475,84.7,3791,3791
Adelaide,Female,55-59 years,SA,76,4622,87.3,4033,4033
Adelaide,Female,60-64 years,SA,76,4342,89.3,3879,3879
Adelaide,Female,65-69 years,SA,76,3970,90.7,3602,3602
Adelaide,Female,70-74 years,SA,76,3009,90.3,2716,2716
Adelaide,Female,75-79 years,SA,76,2156,88.5,1908,1908
Adelaide,Female,80-84 years,SA,76,1673,85.1,1423,1423
Adelaide,Female,85 years and over,SA,76,2390,76.9,1838,1838
Adelaide,Female,Total for Gender,SA,76,55487,83.8,46495,46495
Adelaide,Male,18-19 years,SA,76,1211,78.4,949,949
Adelaide,Male,20-24 years,SA,76,4467,72.2,3224,3224
Adelaide,Male,25-29 years,SA,76,5290,73.2,3870,3870
Adelaide,Male,30-34 years,SA,76,5114,73.1,3737,3737
Adelaide,Male,35-39 years,SA,76,4593,72.5,3329,3329
Adelaide,Male,40-44 years,SA,76,4433,74.4,3296,3296
Adelaide,Male,45-49 years,SA,76,4593,76.9,3534,3534
Adelaide,Male,50-54 years,SA,76,4359,78.6,3428,3428
Adelaide,Male,55-59 years,SA,76,4443,83,3687,3687
Adelaide,Male,60-64 years,SA,76,4073,86.8,3535,3535
Adelaide,Male,65-69 years,SA,76,3594,88.5,3181,3181
Adelaide,Male,70-74 years,SA,76,2716,89.8,2439,2439
Adelaide,Male,75-79 years,SA,76,1777,89.1,1583,1583
Adelaide,Male,80-84 years,SA,76,1235,86.6,1070,1070
Adelaide,Male,85 years and over,SA,76,1323,80.5,1065,1065
Adelaide,Male,Total for Gender,SA,76,53221,78.8,41927,41927
Aston,Female,18-19 years,Vic.,99,1395,86.3,1204,1204
Aston,Female,20-24 years,Vic.,99,4396,81.7,3590,3590
Aston,Female,25-29 years,Vic.,99,3921,80.5,3156,3156
Aston,Female,30-34 years,Vic.,99,3593,80,2874,2874
Aston,Female,35-39 years,Vic.,99,3809,79.8,3038,3038
Aston,Female,40-44 years,Vic.,99,3910,80.6,3152,3152
Aston,Female,45-49 years,Vic.,99,4513,83.5,3769,3769
Aston,Female,50-54 years,Vic.,99,4447,85.6,3807,3807
Aston,Female,55-59 years,Vic.,99,4523,86,3888,3888
Aston,Female,60-64 years,Vic.,99,4016,88.1,3540,3540
Aston,Female,65-69 years,Vic.,99,3454,89.1,3077,3077
Aston,Female,70-74 years,Vic.,99,2567,88.4,2269,2269
Aston,Female,75-79 years,Vic.,99,1919,87.5,1679,1679
Aston,Female,80-84 years,Vic.,99,1279,84.4,1080,1080
Aston,Female,85 years and over,Vic.,99,1328,77,1022,1022
Aston,Female,Total for Gender,Vic.,99,49070,83.8,41145,41145
Aston,Male,18-19 years,Vic.,99,1362,78.7,1072,1072
Aston,Male,20-24 years,Vic.,99,4405,73.2,3225,3225
Aston,Male,25-29 years,Vic.,99,3975,72.1,2864,2864
Aston,Male,30-34 years,Vic.,99,3798,72.7,2760,2760
Aston,Male,35-39 years,Vic.,99,3804,73,2776,2776
Aston,Male,40-44 years,Vic.,99,3742,75.3,2818,2818
Aston,Male,45-49 years,Vic.,99,4014,77.6,3114,3114
Aston,Male,50-54 years,Vic.,99,4084,80,3266,3266
Aston,Male,55-59 years,Vic.,99,4272,82.7,3533,3533
Aston,Male,60-64 years,Vic.,99,3714,86.2,3202,3202
Aston,Male,65-69 years,Vic.,99,3200,88.2,2821,2821
Aston,Male,70-74 years,Vic.,99,2347,89,2088,2088
Aston,Male,75-79 years,Vic.,99,1653,89.9,1486,1486
Aston,Male,80-84 years,Vic.,99,992,87.4,867,867
Aston,Male,85 years and over,Vic.,99,821,81.5,669,669
Aston,Male,Total for Gender,Vic.,99,46183,79.2,36561,36561
Ballarat,Female,18-19 years,Vic.,4 652,1565,83.6,1309,1309
Ballarat,Female,20-24 years,Vic.,4 652,4668,76.6,3575,3575
Ballarat,Female,25-29 years,Vic.,4 652,4466,76.9,3436,3436
Ballarat,Female,30-34 years,Vic.,4 652,4412,78.4,3458,3458
Ballarat,Female,35-39 years,Vic.,4 652,4512,79.4,3584,3584
Ballarat,Female,40-44 years,Vic.,4 652,4741,81.5,3866,3866
Ballarat,Female,45-49 years,Vic.,4 652,5247,83.5,4382,4382
Ballarat,Female,50-54 years,Vic.,4 652,4952,85.8,4250,4250
Ballarat,Female,55-59 years,Vic.,4 652,5199,87.4,4546,4546
Ballarat,Female,60-64 years,Vic.,4 652,4823,88.8,4283,4283
Ballarat,Female,65-69 years,Vic.,4 652,4588,90.7,4161,4161
Ballarat,Female,70-74 years,Vic.,4 652,3603,90.4,3258,3258
Ballarat,Female,75-79 years,Vic.,4 652,2405,90.6,2180,2180
Ballarat,Female,80-84 years,Vic.,4 652,1807,87.8,1587,1587
Ballarat,Female,85 years and over,Vic.,4 652,1969,77.2,1521,1521
Ballarat,Female,Total for Gender,Vic.,4 652,58957,83.8,49396,49396
Ballarat,Male,18-19 years,Vic.,4 652,1446,78.8,1139,1139
Ballarat,Male,20-24 years,Vic.,4 652,4720,67.8,3198,3198
Ballarat,Male,25-29 years,Vic.,4 652,4543,69,3133,3133
Ballarat,Male,30-34 years,Vic.,4 652,4270,72.5,3097,3097
Ballarat,Male,35-39 years,Vic.,4 652,4193,72.8,3052,3052
Ballarat,Male,40-44 years,Vic.,4 652,4437,76.3,3387,3387
Ballarat,Male,45-49 years,Vic.,4 652,4808,77.7,3737,3737
Ballarat,Male,50-54 years,Vic.,4 652,4586,80.7,3699,3699
Ballarat,Male,55-59 years,Vic.,4 652,4799,83.7,4016,4016
Ballarat,Male,60-64 years,Vic.,4 652,4473,87.5,3915,3915
Ballarat,Male,65-69 years,Vic.,4 652,4252,89.1,3790,3790
Ballarat,Male,70-74 years,Vic.,4 652,3243,90.1,2921,2921
Ballarat,Male,75-79 years,Vic.,4 652,2164,90.3,1954,1954
Ballarat,Male,80-84 years,Vic.,4 652,1382,89.5,1237,1237
Ballarat,Male,85 years and over,Vic.,4 652,1095,83.3,912,912
Ballarat,Male,Total for Gender,Vic.,4 652,54411,79.4,43187,43187
Banks,Female,18-19 years,NSW,53,1514,82.8,1253,1253
Banks,Female,20-24 years,NSW,53,4095,79.7,3263,3263
Banks,Female,25-29 years,NSW,53,3959,76.2,3015,3015
Banks,Female,30-34 years,NSW,53,4070,74.2,3018,3018
Banks,Female,35-39 years,NSW,53,4362,76.9,3354,3354
Banks,Female,40-44 years,NSW,53,4511,78.8,3554,3554
Banks,Female,45-49 years,NSW,53,4871,79.6,3877,3877
Banks,Female,50-54 years,NSW,53,4787,82.1,3932,3932
Banks,Female,55-59 years,NSW,53,4726,84.4,3988,3988
Banks,Female,60-64 years,NSW,53,4069,86.1,3504,3504
Banks,Female,65-69 years,NSW,53,3520,87.9,3093,3093
Banks,Female,70-74 years,NSW,53,2870,88.5,2540,2540
Banks,Female,75-79 years,NSW,53,2329,89.5,2085,2085
Banks,Female,80-84 years,NSW,53,1943,86.1,1672,1672
Banks,Female,85 years and over,NSW,53,2528,79.8,2018,2018
Banks,Female,Total for Gender,NSW,53,54154,81.6,44166,44166
Banks,Male,18-19 years,NSW,53,1431,77,1102,1102
Banks,Male,20-24 years,NSW,53,4224,73.3,3098,3098
Banks,Male,25-29 years,NSW,53,4036,72.3,2918,2918
Banks,Male,30-34 years,NSW,53,4188,69.1,2895,2895
Banks,Male,35-39 years,NSW,53,4197,71.1,2982,2982
Banks,Male,40-44 years,NSW,53,4239,74.8,3172,3172
Banks,Male,45-49 years,NSW,53,4419,78.7,3477,3477
Banks,Male,50-54 years,NSW,53,4471,78.8,3523,3523
Banks,Male,55-59 years,NSW,53,4621,81.5,3764,3764
Banks,Male,60-64 years,NSW,53,3948,83.5,3297,3297
Banks,Male,65-69 years,NSW,53,3257,87.5,2851,2851
Banks,Male,70-74 years,NSW,53,2631,89.9,2366,2366
Banks,Male,75-79 years,NSW,53,1836,89.1,1636,1636
Banks,Male,80-84 years,NSW,53,1531,88.3,1352,1352
Banks,Male,85 years and over,NSW,53,1499,83.2,1247,1247
Banks,Male,Total for Gender,NSW,53,50528,78.5,39680,39680
Barker,Female,18-19 years,SA,63 886,1166,78.2,912,912
Barker,Female,20-24 years,SA,63 886,3198,68.5,2190,2190
Barker,Female,25-29 years,SA,63 886,3232,66.8,2159,2159
Barker,Female,30-34 years,SA,63 886,3392,67.7,2296,2296
Barker,Female,35-39 years,SA,63 886,3564,68.7,2449,2449
Barker,Female,40-44 years,SA,63 886,3885,71.2,2766,2766
Barker,Female,45-49 years,SA,63 886,4569,76.8,3508,3508
Barker,Female,50-54 years,SA,63 886,4727,80.8,3821,3821
Barker,Female,55-59 years,SA,63 886,5180,83.2,4311,4311
