area,Yes,Yes pct,No,No pct,Response Total,Response Total pct,Response clear,Response clear pct,Response not clear(b),Response not clear(b) pct,Non-responding,Non-responding pct,Eligible Total,Eligible Total pct,State,Area (sq km)
Banks,37736,44.9,46343,55.1,84079,100,84079,79.9,247,0.2,20928,19.9,105254,100,NSW,53
Barton,37153,43.6,47984,56.4,85137,100,85137,77.8,226,0.2,24008,22,109371,100,NSW,40
Bennelong,42943,49.8,43215,50.2,86158,100,86158,81,244,0.2,19973,18.8,106375,100,NSW,60
Berowra,48471,54.6,40369,45.4,88840,100,88840,84.5,212,0.2,16038,15.3,105090,100,NSW,786
Blaxland,20406,26.1,57926,73.9,78332,100,78332,75,220,0.2,25883,24.8,104435,100,NSW,61
Bradfield,53681,60.6,34927,39.4,88608,100,88608,83.5,202,0.2,17261,16.3,106071,100,NSW,101
Calare,54091,60.2,35779,39.8,89870,100,89870,77.8,285,0.2,25342,21.9,115497,100,NSW,32 666
Chifley,32871,41.3,46702,58.7,79573,100,79573,73.7,263,0.2,28180,26.1,108016,100,NSW,126
Cook,47505,55,38804,45,86309,100,86309,82,229,0.2,18713,17.8,105251,100,NSW,94
Cowper,57493,60,38317,40,95810,100,95810,79,315,0.3,25197,20.8,121322,100,NSW,7 296
Cunningham,60906,65.7,31840,34.3,92746,100,92746,81.6,268,0.2,20607,18.1,113621,100,NSW,519
Dobell,59475,65.7,30987,34.3,90462,100,90462,78.7,255,0.2,24275,21.1,114992,100,NSW,787
Eden-Monaro,57223,64.9,30926,35.1,88149,100,88149,79.7,249,0.2,22139,20,110537,100,NSW,41 617
Farrer,48432,55.2,39297,44.8,87729,100,87729,77.2,277,0.2,25669,22.6,113675,100,NSW,126 590
Fowler,27847,36.3,48782,63.7,76629,100,76629,72.2,228,0.2,29251,27.6,106108,100,NSW,69
Gilmore,59322,62,36386,38,95708,100,95708,80.3,303,0.3,23109,19.4,119120,100,NSW,6 342
Grayndler,73208,79.9,18429,20.1,91637,100,91637,85,136,0.1,16074,14.9,107847,100,NSW,32
Greenway,38016,46.4,43980,53.6,81996,100,81996,76.3,217,0.2,25253,23.5,107466,100,NSW,81
Hughes,51337,58.4,36558,41.6,87895,100,87895,83.6,185,0.2,17038,16.2,105118,100,NSW,369
Hume,51284,58.6,36271,41.4,87555,100,87555,78.7,213,0.2,23457,21.1,111225,100,NSW,17 240
Hunter,59137,64.4,32723,35.6,91860,100,91860,78.3,251,0.2,25253,21.5,117364,100,NSW,10 640
Kingsford Smith,56297,64.1,31510,35.9,87807,100,87807,79.5,225,0.2,22399,20.3,110431,100,NSW,91
Lindsay,49071,56.2,38295,43.8,87366,100,87366,76.3,234,0.2,26955,23.5,114555,100,NSW,339
Lyne,51416,55.3,41539,44.7,92955,100,92955,81,316,0.3,21426,18.7,114697,100,NSW,16 099
Macarthur,43323,52.1,39907,47.9,83230,100,83230,75.2,228,0.2,27271,24.6,110729,100,NSW,363
Mackellar,62350,68,29330,32,91680,100,91680,83.8,208,0.2,17500,16,109388,100,NSW,233
Macquarie,56180,63.9,31778,36.1,87958,100,87958,82.4,235,0.2,18490,17.3,106683,100,NSW,4 374
McMahon,29146,35.1,53967,64.9,83113,100,83113,77.6,242,0.2,23721,22.2,107076,100,NSW,168
Mitchell,42112,49.1,43652,50.9,85764,100,85764,81.4,176,0.2,19436,18.4,105376,100,NSW,101
Newcastle,71158,74.8,23999,25.2,95157,100,95157,82.5,232,0.2,19970,17.3,115359,100,NSW,171
New England,44608,52.5,40324,47.5,84932,100,84932,76.7,256,0.2,25581,23.1,110769,100,NSW,68 394
North Sydney,64813,71.8,25473,28.2,90286,100,90286,83.6,193,0.2,17538,16.2,108017,100,NSW,53
Page,55943,59.7,37727,40.3,93670,100,93670,78.3,291,0.2,25645,21.4,119606,100,NSW,19 342
Parkes,41408,52.7,37108,47.3,78516,100,78516,72.3,241,0.2,29777,27.4,108534,100,NSW,393 413
Parramatta,29299,38.4,47038,61.6,76337,100,76337,74.6,197,0.2,25757,25.2,102291,100,NSW,57
Paterson,60915,65.5,32059,34.5,92974,100,92974,79.1,279,0.2,24264,20.6,117517,100,NSW,1 123
